SaleCondition,SalePrice,SaleType,MSZoning,BsmtQual,Foundation,Electrical,RoofStyle,Neighborhood,GrLivArea,firstFlrSF,YearBuilt,GarageType,OverallQual,OverallCond,TotRmsAbvGrd,GarageCars,GarageArea
Normal,191000,WD,RL,Ex,BrkTil,SBrkr,Gable,Crawfor,2555,1423,1922,Detchd,6,7,11,2,672
Normal,159500,WD,RM,TA,BrkTil,SBrkr,Gable,OldTown,2554,1576,1890,Detchd,7,8,8,2,704
Normal,290000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2531,1328,1995,Attchd,8,5,9,3,752
Normal,290000,WD,RL,Gd,PConc,SBrkr,Hip,NoRidge,2526,1203,1994,Attchd,8,5,8,3,844
Family,136000,CWD,RM,TA,BrkTil,SBrkr,Gable,OldTown,2526,1664,1916,Detchd,6,7,10,1,216
Normal,278000,WD,RL,Gd,PConc,SBrkr,Hip,NWAmes,2524,2524,1981,Attchd,8,5,9,2,542
Normal,151400,WD,RM,Gd,CBlock,SBrkr,Gable,MeadowV,2521,1291,1973,Attchd,6,4,10,2,576
Abnorml,290000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2520,1214,1995,Attchd,7,5,9,3,721
Abnorml,310000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2520,1352,1993,Attchd,8,7,10,3,796
Normal,335000,WD,RL,Gd,PConc,SBrkr,Hip,Timber,2519,1238,1989,Attchd,7,5,9,2,628
Alloca,200624,WD,RL,TA,PConc,SBrkr,Hip,Crawfor,2515,2515,1957,Attchd,6,3,9,2,484
Normal,250000,WD,RL,Gd,Wood,SBrkr,Gable,Timber,2514,1298,1990,Attchd,7,5,8,2,693
Normal,325000,WD,RL,Gd,PConc,SBrkr,Hip,StoneBr,2504,1134,2005,BuiltIn,9,5,11,3,656
Normal,281213,WD,RL,Gd,PConc,SBrkr,Hip,Timber,2482,1133,2005,BuiltIn,8,5,9,3,642
Normal,317000,WD,RL,Ex,PConc,SBrkr,Gable,NridgHt,2473,1143,2004,BuiltIn,8,5,9,3,852
Normal,354000,WD,RL,Ex,PConc,SBrkr,Gable,NridgHt,2468,1136,2004,BuiltIn,8,5,10,3,872
Normal,340000,WD,FV,Gd,PConc,SBrkr,Gable,Somerst,2466,1580,2004,Attchd,8,5,8,2,610
Partial,320000,New,RL,Gd,PConc,SBrkr,Gable,Gilbert,2462,1392,2005,Attchd,7,5,9,2,576
Normal,309000,WD,RL,Ex,PConc,SBrkr,Gable,NridgHt,2452,1132,2004,BuiltIn,8,5,9,3,691
Normal,267000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,2452,1210,1998,BuiltIn,8,5,9,2,683
Normal,340000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2450,1310,1998,Attchd,8,5,7,3,1069
Normal,402000,WD,RL,Gd,PConc,SBrkr,Hip,NoRidge,2448,1686,1994,Attchd,8,7,8,3,711
Normal,169000,WD,RL,TA,PConc,SBrkr,Gable,SWISU,2447,1699,1919,Detchd,6,7,10,1,336
Normal,341000,WD,RL,Gd,PConc,SBrkr,Hip,NoRidge,2418,1325,1993,Attchd,7,5,9,3,983
Normal,260000,WD,RL,Gd,CBlock,SBrkr,Hip,NoRidge,2417,1301,1991,Attchd,8,5,9,2,462
Normal,160000,ConLD,RL,TA,CBlock,FuseA,Gable,OldTown,2414,1766,1900,Attchd,5,4,10,2,520
Normal,244400,COD,RL,TA,CBlock,SBrkr,Gable,ClearCr,2403,1207,1940,Attchd,7,7,10,1,349
Normal,555000,WD,RL,Ex,PConc,SBrkr,Hip,NridgHt,2402,2402,2008,Attchd,10,5,10,3,672
Normal,315750,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2398,1383,1996,Attchd,7,5,8,3,834
Normal,386250,WD,RL,Ex,PConc,SBrkr,Hip,NridgHt,2392,2392,2003,Attchd,10,5,8,3,968
Normal,348000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2392,1407,1997,Attchd,8,5,7,3,870
Abnorml,129000,WD,RL,Gd,CBlock,SBrkr,Flat,NAmes,2380,1465,1965,CarPort,6,5,7,2,596
Partial,325300,New,RL,Ex,PConc,SBrkr,Gable,NridgHt,2376,1158,2005,BuiltIn,8,5,9,3,853
Normal,285000,WD,RL,Gd,PConc,SBrkr,Hip,NridgHt,2374,1234,2003,BuiltIn,8,5,10,3,656
Normal,107500,WD,RM,TA,Stone,SBrkr,Gable,OldTown,2372,1378,1892,Attchd,5,4,11,1,432
Normal,337000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2365,1268,1999,Attchd,8,5,8,3,856
Partial,611657,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,2364,2364,2009,Attchd,9,5,11,3,820
Normal,240000,WD,RL,TA,BrkTil,SBrkr,Gable,ClearCr,2358,1307,1908,Detchd,6,8,10,2,360
Normal,122000,WD,RM,TA,BrkTil,SBrkr,Gable,OldTown,2358,938,1872,NoGarage,8,5,8,0,0
Normal,260000,WD,RL,Gd,CBlock,SBrkr,Gable,NWAmes,2353,1153,1980,Attchd,7,7,10,2,484
Normal,239000,WD,RL,Gd,BrkTil,SBrkr,Gable,Crawfor,2345,1170,1932,Detchd,6,8,9,2,360
Normal,265000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2344,1277,1996,Attchd,7,5,7,3,889
Normal,266500,WD,RL,TA,Stone,SBrkr,Gable,Crawfor,2340,1188,1941,Attchd,7,9,9,1,252
Normal,90000,WD,RM,TA,BrkTil,SBrkr,Gable,OldTown,2337,1422,1900,Detchd,5,5,10,2,560
Partial,426000,New,RL,Ex,PConc,SBrkr,Gable,NridgHt,2332,1742,2007,BuiltIn,10,5,9,3,846
Normal,262280,WD,RL,Gd,PConc,SBrkr,Hip,SawyerW,2329,1532,1990,Attchd,7,5,10,2,514
Partial,345000,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,2324,1182,2005,BuiltIn,9,5,11,3,736
Normal,259500,WD,RL,TA,CBlock,SBrkr,Gambrel,Crawfor,2320,1436,1945,Detchd,6,8,9,1,180
Normal,169000,WD,RL,NoBasement,Slab,SBrkr,Gable,Gilbert,2320,1547,1948,Attchd,5,6,7,2,672
Normal,451950,ConLI,RL,Ex,PConc,SBrkr,Gable,NridgHt,2296,1728,2008,BuiltIn,10,5,10,3,842
Normal,268000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2295,1166,1992,Attchd,7,5,9,2,590
Normal,133900,WD,C (all),TA,BrkTil,SBrkr,Hip,OldTown,2291,1260,1910,Detchd,6,6,9,2,506
Normal,230000,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,2291,1005,1999,BuiltIn,7,5,8,2,429
Normal,255900,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,2290,1149,2002,Attchd,8,5,9,2,779
Normal,122500,WD,RM,TA,PConc,SBrkr,Gable,OldTown,2290,1246,1885,Detchd,4,6,11,2,560
Normal,225000,WD,RL,TA,CBlock,SBrkr,Gable,ClearCr,2287,1304,1953,Attchd,7,4,7,2,667
Normal,248000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2285,997,2000,BuiltIn,8,5,8,3,648
Normal,154300,WD,RL,TA,CBlock,FuseA,Gable,NAmes,2274,1105,1960,Detchd,5,5,12,2,480
Normal,290000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2270,1164,1999,Attchd,8,7,9,3,671
Normal,200000,ConLI,RL,Gd,PConc,SBrkr,Gable,Gilbert,2267,1010,2002,BuiltIn,6,5,8,2,390
Normal,235000,WD,RL,TA,CBlock,SBrkr,Gable,NWAmes,2263,1468,1977,Attchd,7,7,9,2,539
Abnorml,258000,WD,RL,Gd,PConc,SBrkr,Hip,NoRidge,2263,1165,1998,BuiltIn,8,5,10,2,420
Normal,287000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,2263,1055,2001,BuiltIn,8,5,7,2,905
Normal,305000,WD,RL,Gd,PConc,SBrkr,Hip,Timber,2262,1482,2003,Attchd,8,5,10,3,749
Normal,328000,WD,RL,Ex,PConc,SBrkr,Gable,ClearCr,2260,1306,1996,Attchd,7,5,7,2,533
Abnorml,217000,COD,RL,Gd,CBlock,SBrkr,Hip,Crawfor,2259,2259,1953,Basment,6,5,7,2,450
Normal,236000,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,2256,980,2000,BuiltIn,7,5,8,2,554
Normal,225000,WD,RL,Gd,CBlock,SBrkr,Gable,SawyerW,2243,1122,1990,Attchd,7,5,8,3,746
Alloca,142953,WD,RL,NoBasement,Slab,SBrkr,Gable,SawyerW,2240,1120,1979,Detchd,5,5,12,2,528
Normal,222000,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,2236,993,1997,BuiltIn,7,5,8,2,642
Partial,501837,New,RL,Ex,PConc,SBrkr,Hip,StoneBr,2234,2234,2008,Attchd,9,5,9,3,1166
Normal,118500,WD,RL,TA,PConc,SBrkr,Gable,SWISU,2230,954,1912,Detchd,4,5,10,1,440
Abnorml,104000,WD,RM,TA,CBlock,SBrkr,Gable,OldTown,2229,929,1912,NoGarage,6,6,8,0,0
Normal,350000,WD,RL,Ex,PConc,SBrkr,Hip,NridgHt,2224,1462,2004,Attchd,9,5,10,3,738
Normal,244000,WD,RL,Gd,CBlock,SBrkr,Gable,NAmes,2223,2223,1973,Attchd,7,6,8,2,516
Normal,268000,WD,RL,TA,PConc,SBrkr,Flat,NAmes,2217,2217,1970,Attchd,8,6,8,2,621
Normal,117500,WD,RM,TA,BrkTil,SBrkr,Gable,OldTown,2210,1178,1880,Detchd,6,4,8,1,205
Normal,180000,WD,RL,Gd,CBlock,SBrkr,Gable,NAmes,2207,2207,1970,Attchd,7,5,7,2,576
Alloca,274970,WD,RL,Gd,CBlock,SBrkr,Flat,Edwards,2201,1575,1966,Attchd,6,7,8,2,432
Normal,145900,WD,RL,TA,CBlock,SBrkr,Gable,Edwards,2200,1272,1900,NoGarage,5,7,9,0,0
Normal,250000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2198,1145,2000,Attchd,8,5,9,3,836
Normal,271900,WD,RL,Gd,CBlock,SBrkr,Hip,SawyerW,2196,2196,1990,Attchd,7,7,7,3,701
Normal,179500,WD,RL,TA,PConc,SBrkr,Gable,SWISU,2192,1052,1939,Detchd,5,8,8,1,240
Normal,335000,WD,RL,Ex,PConc,SBrkr,Gable,NridgHt,2184,1130,2008,Attchd,9,5,10,3,836
Normal,229000,WD,RL,Gd,PConc,SBrkr,Gable,NWAmes,2183,1377,1988,Attchd,7,5,9,3,786
Partial,280000,New,RL,Ex,PConc,SBrkr,Gable,NridgHt,2172,1071,2006,Attchd,7,5,9,3,947
Normal,228500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,2169,1284,2002,Attchd,8,5,7,2,647
Normal,294000,WD,RL,TA,CBlock,SBrkr,Gable,Veenker,2167,1516,1974,Attchd,7,7,9,2,518
Partial,325624,New,RL,Ex,PConc,SBrkr,Gable,NridgHt,2161,1610,2007,Attchd,8,5,8,3,789
Normal,243000,WD,RL,TA,CBlock,SBrkr,Gable,Edwards,2158,2158,1950,Attchd,6,7,7,2,576
Normal,226000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,2157,1216,1966,Attchd,7,6,8,2,487
Normal,262500,WD,RL,TA,CBlock,SBrkr,Hip,NWAmes,2156,2156,1968,Attchd,7,7,9,2,508
Normal,313000,WD,RL,Ex,PConc,SBrkr,Hip,CollgCr,2153,1476,2000,Attchd,9,5,8,3,736
Abnorml,239686,WD,RL,Ex,PConc,SBrkr,Gable,Mitchel,2149,1518,2003,Attchd,7,5,6,2,670
Normal,277000,WD,RL,Gd,CBlock,SBrkr,Gable,ClearCr,2144,1444,1958,Attchd,6,7,7,2,389
Normal,193500,WD,RL,Gd,CBlock,SBrkr,Gable,NAmes,2142,1182,1968,Attchd,6,6,8,1,509
Normal,106000,WD,RM,TA,PConc,FuseA,Hip,OldTown,2138,1075,1898,Detchd,5,5,11,2,360
Normal,137900,WD,RL,TA,CBlock,FuseA,Hip,NAmes,2136,2136,1951,Detchd,5,3,7,2,528
Normal,214500,WD,RL,TA,BrkTil,FuseA,Gable,BrkSide,2134,1445,1916,Detchd,6,6,10,2,441
Normal,316600,WD,RL,Gd,CBlock,SBrkr,Gable,SawyerW,2132,1496,1983,BuiltIn,8,8,5,2,612
Normal,238000,WD,RL,Ex,PConc,SBrkr,Gable,SawyerW,2127,912,1991,Attchd,7,5,8,3,833
Normal,271000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2127,1223,1994,Attchd,7,5,5,2,525
Abnorml,185000,WD,RL,TA,PConc,SBrkr,Flat,ClearCr,2126,1160,1967,Attchd,5,5,7,2,538
Partial,415298,New,RL,Ex,PConc,SBrkr,Gable,NridgHt,2121,2121,2006,Attchd,9,5,8,3,732
Abnorml,158000,COD,RL,TA,CBlock,SBrkr,Gable,NWAmes,2119,1378,1972,Attchd,6,6,7,2,583
Normal,237500,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,2117,2117,1970,Attchd,6,7,7,2,550
Normal,350000,WD,RL,Gd,PConc,SBrkr,Hip,NoRidge,2113,2113,1995,Attchd,8,6,7,3,839
Normal,206900,WD,RL,Fa,CBlock,SBrkr,Gable,NAmes,2112,1092,1969,Attchd,6,5,9,2,576
Normal,205000,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,2110,1222,1994,Attchd,7,5,8,2,463
Normal,244000,WD,RL,TA,CBlock,SBrkr,Hip,NAmes,2110,2110,1968,Attchd,7,5,8,2,522
Normal,235000,WD,RL,TA,CBlock,SBrkr,Hip,Edwards,2108,1236,1935,Basment,6,7,7,2,540
Normal,275500,WD,RL,Gd,PConc,SBrkr,Gable,NridgHt,2098,1038,2005,Attchd,8,5,8,3,878
Normal,228000,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,2097,1080,1993,Attchd,7,5,9,3,678
Partial,423000,New,RL,Ex,PConc,SBrkr,Gable,Somerst,2097,2097,2005,Attchd,8,5,8,3,1134
Normal,274300,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,2097,1108,1998,Detchd,7,6,8,2,583
Normal,263000,WD,FV,Gd,PConc,SBrkr,Gable,Somerst,2094,912,2003,BuiltIn,7,5,8,2,615
Normal,215000,WD,RL,Gd,CBlock,SBrkr,Gable,NWAmes,2093,1236,1986,Attchd,7,6,7,2,542
Normal,200000,WD,RL,Gd,CBlock,SBrkr,Gable,NWAmes,2090,1107,1973,Attchd,7,6,7,2,484
Normal,207500,WD,RL,Gd,CBlock,SBrkr,Gable,StoneBr,2090,1190,1984,Attchd,7,5,6,2,577
Normal,240000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,2090,1220,1995,Attchd,8,5,8,2,556
Normal,187500,WD,RL,TA,CBlock,SBrkr,Gable,ClearCr,2087,976,1966,Attchd,6,8,9,2,444
Normal,233000,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,2084,956,2004,BuiltIn,7,5,8,2,618
Partial,385000,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,2084,2084,2007,Attchd,10,5,7,3,1220
Normal,200000,WD,RM,Gd,PConc,SBrkr,Gable,OldTown,2082,1362,2003,Detchd,7,5,6,2,484
Normal,234000,WD,RL,Gd,BrkTil,SBrkr,Gambrel,Crawfor,2080,1276,1926,Detchd,7,9,9,1,282
Family,135000,WD,RL,Gd,PConc,SBrkr,Gable,NAmes,2080,1040,1969,Attchd,5,5,9,2,504
Partial,339750,New,FV,Ex,PConc,SBrkr,Gable,Somerst,2078,1050,2007,Attchd,8,5,8,3,836
Partial,465000,New,RL,Ex,PConc,SBrkr,Gable,NridgHt,2076,2076,2006,Attchd,10,5,7,3,850
Normal,210000,WD,RL,Gd,CBlock,SBrkr,Gable,NWAmes,2073,2073,1978,Attchd,6,6,7,2,500
Normal,242000,WD,RL,Gd,CBlock,SBrkr,Flat,NAmes,2069,2069,1960,Attchd,7,7,9,2,505
Normal,277000,WD,RL,Gd,CBlock,SBrkr,Gable,SawyerW,2062,1180,1988,Attchd,7,5,7,2,454
Normal,211000,WD,RL,Gd,PConc,SBrkr,Gable,ClearCr,2060,1164,1988,Attchd,6,5,8,2,521
Normal,214000,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,2060,1022,1999,BuiltIn,7,5,8,2,390
Normal,129500,WD,RM,Gd,BrkTil,SBrkr,Gable,OldTown,2058,1134,1917,Detchd,6,5,8,2,396
Normal,250000,WD,RL,Gd,CBlock,SBrkr,Gable,Crawfor,2057,1020,1936,Attchd,7,7,6,1,180
Normal,244000,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,2054,1022,2000,BuiltIn,6,5,7,2,390
Normal,284000,WD,RL,Gd,PConc,SBrkr,Gable,NridgHt,2046,1006,2003,BuiltIn,7,5,8,3,871
Partial,372500,New,RL,Ex,PConc,SBrkr,Hip,StoneBr,2046,2046,2008,Attchd,8,5,7,3,834
Partial,253293,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,2042,2042,2008,Attchd,8,5,8,3,1390
Normal,375000,WD,RL,Gd,CBlock,SBrkr,Hip,Timber,2036,2036,1965,Attchd,7,5,8,2,513
Normal,222500,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,2035,884,2001,BuiltIn,7,5,8,2,434
Normal,219500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,2034,1057,1997,Attchd,7,5,8,2,645
Normal,222500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,2031,1153,1998,Attchd,7,5,8,2,541
Normal,237000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,2031,1128,2002,Attchd,8,5,7,2,577
Normal,195000,WD,RL,TA,CBlock,SBrkr,Gable,NWAmes,2030,1118,1976,Attchd,6,6,8,2,551
Partial,369900,New,RL,Ex,PConc,SBrkr,Hip,Timber,2028,2028,2005,Attchd,8,5,7,3,880
Normal,192000,WD,RL,Gd,CBlock,SBrkr,Hip,ClearCr,2022,1156,1977,Attchd,7,5,8,2,505
Partial,274725,New,RL,Ex,PConc,SBrkr,Gable,Gilbert,2021,887,2006,BuiltIn,7,5,9,2,422
Partial,402861,New,RL,Ex,CBlock,SBrkr,Hip,NridgHt,2020,2020,2009,Attchd,10,5,9,3,900
Normal,144000,WD,RH,NoBasement,Slab,SBrkr,Gable,SawyerW,2020,2020,1977,Detchd,5,5,10,2,630
Normal,239500,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,2020,1142,1995,Attchd,8,5,8,2,466
Normal,167500,WD,RL,Gd,BrkTil,SBrkr,Gable,BrkSide,2019,1136,1910,Detchd,7,8,8,2,532
Normal,378500,WD,RL,Ex,PConc,SBrkr,Hip,Timber,2018,2018,2008,Attchd,9,5,10,3,746
Normal,269790,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2013,1127,1996,Attchd,7,5,8,2,455
Normal,225000,WD,RL,TA,CBlock,SBrkr,Gable,Edwards,2008,1112,1948,Attchd,5,8,8,1,230
Normal,310000,WD,FV,Ex,PConc,SBrkr,Gable,Somerst,2007,1026,2008,Attchd,10,5,10,3,812
Normal,145000,WD,RH,TA,CBlock,FuseA,Gable,Crawfor,2002,1001,1949,2Types,5,6,8,3,871
Normal,305900,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,2000,2000,2004,Attchd,8,5,8,3,888
Normal,190000,WD,RL,TA,CBlock,SBrkr,Gable,NWAmes,1993,1097,1971,Attchd,6,5,8,2,495
Normal,250000,WD,FV,Ex,PConc,SBrkr,Hip,Somerst,1992,1053,2003,Attchd,8,5,9,2,648
Normal,220000,WD,RL,TA,CBlock,SBrkr,Gable,Crawfor,1991,1096,1932,Detchd,6,7,7,2,432
Normal,255000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1989,1091,2002,Attchd,8,5,7,2,586
Normal,301500,WD,RL,Gd,PConc,SBrkr,Hip,NoRidge,1987,1987,1994,Attchd,8,5,7,2,691
Normal,205000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1986,1186,1965,Attchd,7,6,7,2,486
Normal,225000,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1983,1005,1999,Attchd,7,5,9,2,490
Normal,228500,WD,RL,Gd,CBlock,SBrkr,Gable,SawyerW,1982,1175,1989,Attchd,7,6,7,2,575
Normal,135000,WD,RL,TA,BrkTil,SBrkr,Gable,SWISU,1981,1328,1928,Detchd,4,3,7,2,576
